431	57	161	381
178	93	461	459
354	339	347	241
87	484	498	407
372	129	475	79
112	7	322	427
365	150	433	126
214	98	435	478
335	79	218	292
149	240	171	342
31	302	141	48
373	267	33	241
315	186	342	393
426	494	185	466
225	55	15	421
120	423	153	194
21	442	492	95
393	419	163	222
112	402	261	483
130	214	446	405
342	216	174	459
156	190	179	258
462	426	268	274
206	149	352	75
127	272	128	238
397	163	168	25
388	251	350	332
193	418	51	436
73	330	218	325
303	335	345	393
65	144	80	6
244	370	98	89
67	440	50	300
115	462	245	449
200	431	48	325
38	120	256	302
97	158	414	248
131	469	50	314
386	79	286	60
330	94	422	240
444	401	342	426
94	388	42	500
221	208	384	393
465	217	273	39
188	32	377	383
471	421	194	214
315	372	84	41
420	456	390	228
355	340	288	443
261	45	189	126
