214	386
298	86
261	118
287	141
239	460
477	495
46	274
463	311
214	220
10	245
64	102
469	295
287	423
347	39
83	108
59	227
119	454
322	402
434	172
457	487
391	395
147	445
315	380
21	56
1	365
221	99
493	52
359	496
363	436
415	8
434	217
310	322
184	31
107	73
142	142
14	437
341	244
331	232
269	412
167	27
186	231
164	156
385	356
392	324
466	434
139	190
95	330
208	18
14	317
233	374
395	265
183	359
461	272
454	460
193	148
57	161
33	466
21	49
139	313
278	270
346	29
383	491
185	37
149	131
135	24
386	423
388	450
305	211
382	493
59	341
379	116
480	192
392	20
190	397
458	315
72	60
39	378
93	6
297	187
90	154
384	17
50	188
186	94
429	444
13	369
253	443
84	422
249	137
154	154
200	441
496	416
7	225
128	483
436	231
97	444
249	176
269	347
138	122
157	313
26	356
476	310
131	347
305	69
114	140
350	472
54	310
78	339
308	421
240	177
448	129
5	211
491	121
63	62
291	79
148	215
51	401
465	247
257	285
341	149
23	110
281	312
332	274
201	425
393	486
76	118
134	387
345	81
357	267
247	93
341	309
444	53
17	125
286	72
106	447
169	414
364	326
413	127
384	272
194	309
135	91
366	406
31	31
469	171
360	422
15	155
325	391
430	286
385	392
438	200
226	138
431	99
218	261
98	274
102	278
65	42
129	293
346	21
287	253
210	352
447	277
171	239
364	22
145	467
477	324
424	371
268	80
10	5
140	38
170	405
445	232
68	271
497	222
402	281
291	22
102	23
397	67
162	399
67	31
377	483
254	297
265	15
79	63
155	25
135	248
430	175
169	131
395	266
245	358
423	51
164	388
462	11
205	278
449	494
343	382
475	144
44	258
410	248
483	387
84	93
183	398
151	375
205	405
203	260
229	241
51	291
296	306
66	84
162	68
268	164
344	344
369	490
275	81
397	54
377	313
385	357
223	292
36	57
390	312
135	94
360	229
173	159
432	255
331	226
202	499
416	360
253	489
412	358
454	139
464	146
250	395
364	448
423	440
45	32
324	106
168	484
384	106
454	117
454	74
251	134
290	85
187	190
354	461
418	45
159	438
35	394
368	300
166	322
4	286
48	477
13	209
341	496
161	226
497	45
340	281
429	104
424	220
394	193
71	162
490	301
314	163
68	77
497	244
347	433
323	114
175	202
55	305
351	375
338	214
227	56
13	254
306	302
176	350
273	9
158	28
26	61
299	454
169	224
229	463
97	406
41	35
388	14
408	341
418	60
247	45
37	492
447	276
11	265
78	274
434	451
454	189
410	384
343	355
309	460
16	406
473	488
181	64
207	109
461	38
335	490
272	123
289	420
403	417
350	407
170	230
207	324
50	109
470	472
282	75
409	59
260	181
319	265
195	346
133	92
481	202
179	355
320	302
207	133
386	120
53	232
5	456
159	304
7	453
297	192
429	254
6	210
6	368
245	414
331	151
148	294
355	496
109	438
314	489
211	160
34	459
351	213
345	189
448	310
190	397
101	24
29	86
199	226
112	197
290	186
427	6
474	49
132	231
317	297
446	158
219	41
433	353
238	163
115	419
363	483
256	450
353	28
215	216
449	120
275	136
310	256
261	198
347	17
71	252
349	131
368	290
110	114
50	28
473	204
49	465
47	47
457	16
55	403
313	240
460	69
71	403
448	494
278	54
227	120
218	496
52	207
314	65
211	171
3	116
188	414
124	118
183	155
322	243
326	92
60	128
204	289
4	479
264	361
354	77
23	297
122	396
489	334
427	394
312	290
91	486
255	284
212	345
293	53
447	70
192	227
16	360
403	208
139	303
61	350
287	362
326	20
228	167
416	438
77	327
322	388
420	182
297	413
13	417
489	460
172	402
366	398
72	8
263	162
113	159
337	46
81	359
243	143
274	458
412	336
120	201
368	297
317	490
160	361
347	84
454	255
155	301
170	66
73	272
348	199
30	430
88	46
352	15
369	365
309	162
210	457
1	32
112	382
223	489
184	24
122	285
111	319
218	335
279	181
150	273
182	307
281	426
101	69
383	413
458	195
185	358
141	474
24	451
245	315
36	117
116	299
437	75
48	183
371	429
324	56
426	283
29	415
273	395
144	198
199	225
331	361
8	8
39	70
379	311
150	180
124	409
453	414
87	58
457	376
70	236
87	13
31	399
100	329
144	481
211	194
76	485
295	7
220	358
298	125
53	147
311	108
114	428
10	474
451	221
183	319
167	248
343	374
392	287
493	27
154	205
302	38
470	483
472	301
192	111
475	109
144	0
416	427
412	335
51	332
202	234
223	493
192	374
25	440
204	323
452	245
130	224
38	277
40	382
60	110
415	399
64	204
27	78
113	130
447	100
452	12
344	230
462	243
361	166
184	270
429	479
309	98
500	187
217	238
169	268
326	243
292	99
68	468
422	271
443	29
164	263
174	374
473	394
242	415
74	365
205	13
488	415
488	69
282	45
385	482
83	457
315	398
407	102
113	398
449	416
22	160
213	324
208	236
395	288
447	298
301	97
497	48
391	49
292	314
114	295
110	315
204	218
150	304
182	343
418	65
400	112
62	331
60	318
47	44
234	204
468	172
448	188
178	404
407	484
463	11
319	166
287	415
387	194
86	93
462	117
445	328
41	39
434	366
44	328
64	29
122	89
443	301
227	410
236	250
64	32
348	420
215	101
235	75
231	1
30	348
202	386
460	161
64	327
367	481
271	355
180	247
35	19
205	251
63	482
417	231
422	67
189	154
16	263
313	206
217	394
176	475
271	261
55	196
347	5
498	433
164	400
227	286
295	197
273	117
427	405
371	230
252	393
399	18
145	167
427	346
111	450
152	165
201	446
213	21
209	215
112	86
340	250
382	56
463	184
30	482
221	21
434	224
297	116
298	152
397	273
183	270
61	274
131	167
489	304
418	498
213	284
175	98
19	297
15	7
68	14
353	172
212	492
357	451
387	138
394	237
372	2
314	92
415	50
280	470
425	34
177	64
404	432
58	433
123	305
431	332
117	303
32	138
117	78
52	21
245	459
117	208
338	16
323	247
98	168
369	368
380	50
419	134
323	313
49	258
214	124
489	192
433	104
41	458
459	118
113	338
29	115
222	60
90	254
440	404
383	313
84	224
170	223
75	349
496	399
338	446
482	446
14	350
400	1
118	313
424	102
84	283
121	197
268	119
350	132
188	61
483	465
400	227
495	449
13	61
446	242
489	102
441	301
365	171
164	79
279	476
421	145
286	298
368	125
340	268
168	395
119	486
414	428
237	196
446	43
65	17
437	375
107	272
373	354
401	466
108	356
296	68
20	234
37	487
431	180
312	159
11	365
465	85
180	197
38	496
435	354
13	327
100	474
125	138
25	480
484	497
116	399
25	41
431	360
369	90
269	363
462	366
145	410
235	316
474	188
233	93
380	257
84	466
271	410
217	108
333	68
308	461
4	445
249	485
454	39
370	345
88	39
205	340
240	158
305	44
335	292
150	303
386	263
248	304
63	194
127	132
449	52
255	65
299	256
180	298
158	448
270	115
