469	119	5
309	183	270
452	302	465
417	354	446
259	42	150
32	336	92
404	249	241
469	27	322
452	62	443
299	290	499
354	450	404
371	27	21
452	373	274
77	474	369
342	471	152
122	325	7
356	248	52
427	395	447
203	174	25
451	438	7
242	499	441
495	243	228
500	312	89
103	475	287
467	87	75
333	154	413
241	442	17
216	389	24
354	51	84
439	365	280
41	139	494
113	226	373
295	223	179
423	465	364
81	120	479
237	106	436
447	107	484
18	256	120
393	464	273
417	57	397
1	468	83
135	484	413
176	352	195
16	77	377
372	170	75
61	49	325
91	421	32
61	51	430
228	48	26
356	262	281
172	432	288
405	286	295
168	149	354
184	310	252
239	15	185
403	312	310
395	479	419
337	314	337
70	493	408
178	334	261
62	396	382
199	3	126
180	458	272
342	147	28
462	418	477
18	258	278
204	448	175
452	303	18
118	306	414
73	250	133
330	173	213
325	14	108
154	201	373
333	368	188
209	366	141
283	463	92
462	274	312
496	446	62
197	227	359
252	337	370
130	256	51
95	61	438
286	125	119
409	395	467
286	60	492
381	62	391
183	349	330
265	450	344
173	86	52
212	55	130
232	108	201
5	325	333
479	408	447
100	408	16
159	192	271
289	307	429
464	98	272
203	62	93
442	281	424
324	470	256
154	46	472
411	276	377
271	58	124
25	261	127
32	314	234
89	371	422
368	227	336
185	393	441
218	395	176
238	157	37
143	286	160
47	276	242
130	238	484
259	237	386
400	390	79
425	192	496
104	224	466
480	187	74
164	58	116
485	238	118
168	53	253
391	346	41
307	446	190
147	476	352
270	126	89
432	349	380
64	299	115
94	229	16
487	286	318
20	479	369
85	435	122
122	354	242
296	387	480
13	252	243
144	197	94
319	109	236
51	133	337
199	151	12
46	165	478
169	467	37
397	97	250
259	250	101
323	81	171
484	18	332
297	374	271
184	423	16
496	33	94
326	180	439
291	308	280
124	100	165
445	279	394
157	303	30
475	94	408
99	212	273
362	277	306
36	428	101
3	139	70
152	465	207
364	408	4
159	398	208
194	360	456
367	191	396
463	0	456
42	172	382
453	146	385
418	381	245
211	390	147
317	264	355
144	99	355
397	372	34
255	378	13
352	306	347
400	320	413
63	262	238
16	230	256
102	133	12
446	157	80
67	170	253
391	112	12
417	445	324
260	478	236
172	155	102
214	404	314
98	219	317
248	65	323
214	329	285
210	114	32
348	469	213
478	294	234
127	259	74
243	339	82
157	301	317
158	314	71
482	132	422
424	226	187
404	347	178
75	307	166
323	184	128
386	437	222
26	212	407
329	453	426
79	48	163
49	390	73
89	415	180
210	104	403
406	322	40
75	405	282
327	319	413
400	45	418
467	432	451
279	454	138
177	266	151
381	177	204
97	12	423
231	113	289
480	370	237
160	98	466
176	342	393
37	55	65
35	107	225
210	406	372
453	91	201
0	476	216
116	86	355
113	437	407
487	46	85
242	280	330
257	125	396
450	234	158
249	418	188
174	215	5
349	393	200
61	426	183
372	434	401
321	466	421
371	166	125
339	108	456
63	171	470
183	197	0
382	78	465
378	350	353
142	253	455
172	275	360
475	454	491
97	435	329
248	185	14
477	466	14
158	141	433
167	453	371
154	29	133
362	187	465
249	265	35
489	476	79
263	490	255
157	327	488
120	241	378
143	467	170
332	174	195
195	215	312
37	313	388
45	291	110
416	402	39
23	336	160
165	144	149
123	493	356
39	227	450
291	122	61
144	219	149
166	485	355
39	192	431
353	238	75
9	113	46
21	302	318
105	332	32
471	64	460
278	459	426
400	107	9
310	445	84
479	266	144
155	26	66
16	62	60
163	33	202
375	382	216
114	200	383
7	37	227
39	381	489
341	326	357
289	81	452
239	191	401
109	289	313
455	305	168
270	64	443
235	278	297
33	237	282
329	209	109
82	5	495
177	2	123
384	188	449
161	384	367
444	119	109
201	162	440
138	276	445
266	246	75
374	26	95
7	497	40
241	29	235
362	316	11
199	267	241
490	387	126
59	93	8
161	201	131
89	129	108
294	176	442
347	468	143
200	49	325
297	169	208
436	265	323
244	73	106
414	214	55
135	297	98
23	291	36
66	43	299
494	137	483
263	377	397
169	253	57
420	65	235
140	329	338
399	446	240
180	324	277
453	251	487
72	84	258
404	231	198
485	166	465
98	52	60
413	1	100
135	352	21
151	87	403
303	82	353
221	236	69
182	73	247
408	211	438
356	222	166
382	191	467
20	426	364
261	306	400
16	476	304
72	247	118
59	83	391
420	379	71
394	486	200
428	294	246
218	472	353
374	413	463
200	286	151
262	179	405
307	110	368
10	491	68
205	338	318
465	198	134
195	104	295
118	102	496
391	225	42
173	95	166
99	201	283
221	258	358
212	253	259
95	81	290
20	25	157
131	226	388
324	476	263
479	38	84
362	274	397
198	161	261
298	132	65
34	347	284
338	140	403
230	414	417
466	467	264
330	213	200
174	491	266
32	395	187
116	2	192
479	124	381
371	363	116
134	420	351
235	415	351
394	415	341
462	487	401
316	372	427
180	36	263
96	176	80
291	13	117
356	310	376
383	271	106
49	86	260
4	174	425
496	444	405
406	426	361
462	276	314
163	482	35
174	167	297
111	210	485
479	230	400
234	277	111
472	500	390
73	136	231
197	33	337
197	332	212
70	404	431
385	13	130
326	311	279
448	328	266
448	254	203
172	140	230
122	268	219
310	179	18
298	344	412
348	315	70
14	288	254
104	183	286
426	359	220
304	470	91
319	89	276
202	475	417
385	144	118
301	172	101
35	409	61
321	331	137
492	425	20
498	72	122
329	64	141
412	48	367
120	111	375
500	229	373
30	291	118
416	43	138
393	384	77
205	248	221
437	402	192
325	380	363
496	462	198
251	443	278
434	8	241
417	468	311
391	84	251
156	365	351
280	349	124
446	320	266
448	7	425
187	334	282
60	127	352
431	49	67
358	316	227
93	2	406
45	111	195
130	227	308
352	133	402
29	469	172
112	96	378
381	355	399
433	252	446
355	272	188
360	413	470
211	389	97
132	313	263
262	124	231
329	278	445
458	303	43
43	20	351
418	322	230
45	148	56
106	293	98
267	248	169
75	174	364
280	343	352
453	453	303
466	200	284
429	367	342
104	49	119
444	153	238
358	418	160
254	120	28
110	497	407
36	386	91
315	105	31
52	207	151
356	467	489
0	443	334
320	288	466
262	432	116
223	100	429
359	227	298
83	445	99
310	164	217
123	442	225
136	277	126
99	277	148
24	219	372
411	106	303
69	256	55
421	481	0
283	416	94
274	403	68
135	223	121
473	132	107
34	60	263
191	96	205
258	396	190
217	107	349
417	392	253
311	344	471
48	325	251
141	133	321
332	145	59
17	70	221
10	216	204
479	479	103
424	14	47
439	165	359
373	467	402
120	315	74
172	395	401
125	21	344
295	379	9
431	239	137
89	323	200
18	279	462
25	375	414
232	445	165
479	30	329
427	353	10
449	413	409
205	445	221
158	235	40
267	90	326
112	61	145
164	460	398
182	206	13
203	124	225
404	186	323
261	296	54
150	22	292
190	169	493
447	485	361
189	228	167
274	120	213
242	191	142
332	141	297
444	122	65
70	133	104
137	82	491
105	233	203
289	97	339
52	58	252
422	218	418
236	296	13
0	276	152
252	352	73
418	298	414
207	475	5
147	281	94
129	442	223
281	60	222
195	284	187
296	51	2
299	354	424
229	455	347
2	361	339
98	179	156
359	179	205
430	219	414
70	27	274
453	240	201
365	24	86
204	314	119
36	162	7
90	435	138
376	319	352
269	403	76
226	434	211
332	353	353
105	288	288
300	299	256
48	289	486
320	162	0
152	223	389
430	296	487
113	68	431
373	319	80
201	365	333
41	24	121
142	170	324
260	23	281
13	403	5
486	33	73
304	268	432
97	489	140
231	237	335
236	151	145
449	146	196
491	327	27
198	15	89
142	424	458
327	463	181
109	153	449
72	485	98
80	15	101
54	261	69
234	84	406
414	76	430
455	120	224
133	39	55
315	139	464
365	405	403
459	327	428
3	367	247
31	78	87
420	132	28
203	451	361
249	183	89
212	448	195
309	387	6
493	485	338
254	447	173
4	27	423
269	50	353
183	141	286
261	347	189
438	242	119
79	323	200
414	269	259
498	227	353
85	292	400
35	165	201
113	358	466
344	186	493
369	433	93
435	186	52
11	226	239
394	411	54
68	287	19
118	199	102
127	373	404
384	105	35
442	456	22
280	499	278
389	94	458
218	248	406
117	468	353
236	216	341
233	482	207
492	374	239
487	211	28
180	246	432
328	124	98
193	450	455
248	153	133
82	453	18
74	137	322
32	138	480
215	399	468
315	73	299
85	242	244
463	237	428
78	373	96
179	169	413
119	271	395
38	370	44
398	498	271
371	433	41
256	171	34
47	4	464
142	244	183
260	126	56
54	444	311
188	145	475
405	326	468
252	343	413
382	351	217
176	252	228
251	456	452
434	451	495
252	363	339
58	288	486
377	98	63
490	153	35
163	182	371
296	464	186
110	7	192
342	175	443
355	252	357
141	417	141
364	12	183
430	260	46
177	334	369
328	190	151
160	154	287
254	361	128
122	313	87
29	469	276
206	225	189
320	375	164
180	186	344
10	160	486
391	14	157
135	6	213
133	39	257
368	114	384
282	500	306
482	330	481
67	264	343
380	175	164
210	10	112
112	445	364
259	64	242
404	147	9
263	104	270
216	388	476
81	402	231
